"winnerIndex","seed","turns","crystalWin","unitWin","co_generations","co_championHostFindGen","co_championHostFitnesses","co_championParasiteFindGen","co_championParasiteFitnesses","oe_generations","oe_championHostFindGen","oe_championFitnesses"
"1","159044494806","65","True","False","31.0","31.0","795.8333333333334","31.0","41.333333333333336","2057.0","1.0","2260.0"
"","","","","","25.0","25.0","645.8333333333334","24.0","65.22727272727273","916.0","22.0","1160.0"
"","","","","","18.0","18.0","1041.5","18.0","7.5","555.0","7.0","1140.0"
"","","","","","14.0","14.0","1984.0","14.0","34.0625","444.0","251.0","1240.0"
"","","","","","21.0","21.0","2055.8333333333335","21.0","42.8","38.0","15.0","2320.0"
"","","","","","18.0","18.0","-85.83333333333333","18.0","98.6842105263158","426.0","16.0","1630.0"
"","","","","","12.0","12.0","-647.0","12.0","89.2","362.0","30.0","2250.0"
"","","","","","13.0","13.0","-3137.3333333333335","13.0","178.5","297.0","10.0","2130.0"
"","","","","","11.0","11.0","-1261.6666666666667","11.0","97.89473684210526","263.0","54.0","2390.0"
"","","","","","31.0","31.0","-685.6666666666666","31.0","192.89473684210526","48.0","35.0","3055.0"
"","","","","","31.0","31.0","-29.0","31.0","83.33333333333333","361.0","36.0","1890.0"
"","","","","","29.0","29.0","83.33333333333333","29.0","52.291666666666664","357.0","23.0","1820.0"
"","","","","","25.0","25.0","104.33333333333333","25.0","68.69565217391305","341.0","77.0","1640.0"
"","","","","","31.0","31.0","2192.0","31.0","25.555555555555557","293.0","27.0","2340.0"
"","","","","","32.0","32.0","995.4666666666667","32.0","120.42857142857143","367.0","6.0","1380.0"
"","","","","","30.0","30.0","1935.1666666666667","30.0","17.333333333333332","336.0","21.0","240.0"
"","","","","","31.0","31.0","2937.3","31.0","37.75","367.0","224.0","920.0"
"","","","","","30.0","30.0","4907.166666666667","30.0","54.793103448275865","330.0","9.0","1227.0"
"","","","","","30.0","30.0","-103.33333333333333","30.0","44.935483870967744","349.0","49.0","2282.0"
"","","","","","31.0","31.0","-5636.4","31.0","366.27272727272725","331.0","10.0","5907.0"
"","","","","","30.0","30.0","-8101.666666666667","30.0","490.7647058823529","365.0","11.0","9141.0"
"","","","","","32.0","32.0","-8917.0","32.0","550.65","359.0","80.0","9608.0"
"","","","","","34.0","34.0","-10115.966666666667","34.0","640.375","375.0","41.0","10948.0"
"","","","","","36.0","36.0","-12263.333333333334","36.0","702.6666666666666","364.0","309.0","12303.0"
"","","","","","38.0","38.0","-20543.0","38.0","1208.4117647058824","345.0","326.0","23909.0"
"","","","","","40.0","40.0","-20303.0","40.0","1194.2941176470588","367.0","10.0","24703.0"
"","","","","","42.0","42.0","-22527.166666666668","42.0","1769.0","439.0","22.0","24827.0"
"","","","","","42.0","42.0","-23327.0","42.0","1245.1052631578948","365.0","195.0","25851.0"
"","","","","","40.0","40.0","-23460.833333333332","40.0","1313.8333333333333","403.0","103.0","27727.0"
"","","","","","40.0","40.0","-23714.9","40.0","1483.0625","477.0","59.0","26761.0"
"","","","","","46.0","46.0","-24268.0","46.0","1344.611111111111","486.0","58.0","26763.0"
"","","","","","49.0","49.0","-25063.9","49.0","1393.9444444444443","552.0","434.0","27276.0"
"","","","","","","","","","","619.0","350.0","60000.0"
"1","87572716971","53","False","True","32.0","32.0","758.3333333333334","32.0","55.45454545454545","1545.0","1.0","2320.0"
"","","","","","15.0","15.0","1943.0","15.0","33.6","751.0","3.0","1180.0"
"","","","","","26.0","26.0","707.5","26.0","41.5","132.0","26.0","1560.0"
"","","","","","18.0","18.0","-538.6666666666666","18.0","83.57692307692308","117.0","8.0","2140.0"
"","","","","","33.0","33.0","411.3333333333333","33.0","39.57142857142857","358.0","28.0","1420.0"
"","","","","","32.0","32.0","-194.66666666666666","32.0","110.0","366.0","251.0","805.0"
"","","","","","32.0","32.0","-430.1666666666667","32.0","59.0","341.0","48.0","905.0"
"","","","","","33.0","33.0","-704.5","33.0","98.08823529411765","331.0","54.0","2665.0"
