rhca_hostChampionFitness,rhca_parasiteChampionFitness,oe_championFitness
238.24903846153853,97.80008682954879,2195.576923076923
218.16221794871802,97.04080571923579,1983.673076923077
198.07539743589743,96.28152460892294,1771.7692307692314
175.5572435897436,95.6888053561732,1563.9648076923074
116.4644743589744,95.66648946423074,1436.5288461538455
12.763108974358936,97.91253729760783,1430.8620192307692
-109.26214743589736,101.07860193787366,1481.9998076923075
-218.89890705128215,105.89692427796837,1549.6077884615383
-302.5689487179488,111.23529817163431,1634.2288461538462
-390.3198557692307,117.37907302450182,1759.2439423076924
-486.1360897435898,124.10295967729205,1907.1086538461536
-593.4678717948717,132.00430363152827,2042.1282692307695
-708.0254102564104,142.00673758969583,2172.244615384616
-833.2084871794873,151.6328822838869,2305.829711538462
-955.4866025641027,160.40222357513164,2434.3055769230773
-1069.607708333334,168.03232102880034,2571.7826923076927
-1150.3767948717948,172.24162309432177,2698.3561538461536
-1231.5901987179489,178.13893215960724,2797.6415384615393
-1318.3585128205127,183.33259355136494,2907.8851923076913
-1439.2358685897436,189.99673847255565,3008.1931730769234
-1586.2974358974361,200.9942382389637,3115.9653846153856
-1773.7461250000001,214.07061503488802,3271.504615384617
-2009.7757628205131,231.1620350369723,3462.9376923076934
-2209.584506410256,247.31470738032516,3641.373173076924
-2375.045205128205,263.83515156737224,3866.838461538461
-2569.269631410257,278.53061993061687,4146.247596153846
-2723.904102564103,291.86809950002623,4410.080769230771
-2911.533926282051,303.4147751219727,4678.659615384616
-3100.1697820512823,316.3886792534338,4891.336923076923
-3258.6741185897436,328.9558799687742,5037.080096153847
-3393.948173076921,340.60556501458,5160.087500000001
-3502.2004743589755,348.3310613291284,5319.055865384616
-3621.939551282051,355.2321996949547,5474.865384615386
-3763.4254423076923,359.39601166270546,5613.416923076922
-3926.457423076924,363.02266867368877,5800.921346153846
-4109.2239743589735,366.73867288457217,6044.88798076923
-4350.106628205129,375.5801002156343,6311.806923076924
-4626.806198717947,389.8432951015311,6591.399807692307
-4893.386006410257,409.11735002929896,6832.730192307693
-5204.162320512821,429.22174816657184,7058.740673076924
-5479.420833333334,447.41201587162993,7296.938461538462
-5720.782932692306,461.186503944288,7569.881538461538
-6026.944717948718,478.40774952685507,7843.15423076923
-6354.131342948716,499.4113599227843,8140.779134615386
-6765.162038461537,523.8028014964347,8458.660384615385
-7133.556618589743,549.8633164686727,8786.533653846154
-7410.9752179487205,573.8886125082744,9111.963461538464
-7632.034496794872,593.0488669773297,9416.629230769231
-7895.570153846154,605.2859369956036,9698.100384615384
-8155.0523749999975,613.1778281844697,9984.681730769234
-8389.400480769227,610.574096398046,10265.211538461539
-8638.564432692307,628.1851510456265,10609.939230769229
-8917.00067948718,656.2801549185916,10954.561923076924
-9255.490096153848,698.0728611399463,11334.671346153842
-9581.864884615388,737.1655221458587,11694.666538461535
-9881.703221153848,751.8092467355707,12007.095192307694
-10163.817333333336,760.8267773525163,12266.565769230774
-10403.118455128208,777.3963993270489,12530.899038461539
-10623.706012820508,800.8339759171735,12784.648269230762
-10826.664086538462,821.6268818428077,12977.993461538465
-11097.640128205127,839.1099712409297,13176.786538461534
-11388.496939102564,854.8039694460888,13483.388365384615
-11668.324576923082,869.8628251597172,13855.592692307693
-11921.006846153843,889.0816058189695,14356.71932692307
-12237.135525641024,910.251310781365,14852.979230769228
-12585.050785256411,939.0132935867839,15245.677884615383
-12930.855871794873,960.3330487028137,15608.964038461538
-13239.533948717952,975.0222215258347,15915.474999999999
-13502.899461538464,991.2339816755799,16177.343846153854
-13831.106182692309,1002.7145225803807,16480.00788461538
-14166.303525641026,1028.240294619053,16791.948076923076
-14512.594951923076,1047.8237056375244,17101.272499999995
-14890.60317948718,1070.8174044699042,17451.57807692307
-15250.224858974358,1092.112429805628,17840.42807692308
-15580.628128205122,1119.5295967963416,18221.98730769231
-15946.799358974366,1146.5647516556282,18637.50721153846
-16384.646025641032,1185.7530035976654,19019.493076923078
-16826.448118589735,1223.634947885911,19349.246730769228
-17237.047628205124,1257.0922447018456,19695.444615384622
-17682.83331410256,1292.9365420237443,20061.64711538462
-18187.78564102564,1330.861408272728,20393.23461538461
-18606.170169871795,1362.1561210331652,20772.540576923082
-19039.8297051282,1391.1134301292407,21178.752500000002
-19439.912176282054,1431.211812003155,21529.784326923073
-19824.269589743588,1483.6605753065537,21885.687307692308
-20310.893926282057,1542.2149620172383,22316.04423076923
-20734.42988461538,1575.3330000777644,22909.886538461542
-21138.658740384613,1590.6495169898285,23538.32298076923
-21637.927371794867,1610.2820032826976,24273.84384615385
-22329.99782051282,1689.2032701749556,25049.96442307691
-23107.678653846164,1804.2468854266592,26121.61923076924
-24027.132487179486,1937.9569325599336,27816.148942307693
-25310.378948717967,2071.9546818016997,30154.235000000008
-27175.49775320514,2198.0674409204858,34092.693846153874
-29449.779705128207,2352.2950547002974,39267.26076923073
-32010.04633012819,2523.79482615228,45091.85817307689
-34266.826820512826,2662.563065912357,49997.70538461537
-35143.56466346154,2731.561093374902,51990.96125
-35229.42019230769,2736.914651176363,52128.807692307695
-35229.42019230769,2736.914651176363,52128.807692307695

