rhca_hostChampionFitness,rhca_parasiteChampionFitness,rhcaPortfolio_hostChampionFitness,rhcaPortfolio_parasiteChampionFitness
1667.820512820513,34.22109052563492,240.125641025641,97.64360364915844
1495.2046570512819,38.35646681860664,220.77708333333325,96.27106704084665
1322.588801282051,42.49184311157837,201.42852564102563,94.89853043253483
1163.17625,45.208537140616514,179.7823237179487,93.55355593384391
1069.9871794871794,46.036679039938676,133.95938461538464,93.49521147557047
1057.9790384615385,45.080406560805145,72.29471153846153,95.05093865051207
1086.861032051282,44.95992640016697,19.50278205128206,97.8595837159039
1123.974378205128,44.425134542407946,-30.543381410256416,102.16153640903984
1139.626769230769,43.30941551499328,-73.16485897435902,106.05201241418224
1174.2387948717956,40.18120584254978,-114.96854166666664,110.89125854740676
1210.1847756410261,38.371671493964286,-167.10532051282058,115.97985015255706
1265.528679487179,35.34283024831865,-243.35050641025643,121.94575482135468
1366.8331923076914,32.584521482647716,-356.7678846153845,128.96338197501453
1517.1199294871794,30.191523511644412,-530.133125,139.5455550820886
1689.8393333333333,27.762656259837033,-686.3781282051284,153.20821150241983
1836.4780608974363,24.787303418353453,-833.8471153846154,166.2886689533854
1942.3422692307688,23.20540553235139,-956.5546794871793,178.18816841053908
2135.639695512821,19.941259759517695,-1043.0009679487182,185.2415117673419
2300.79841025641,17.614131673713242,-1137.64741025641,191.00126901731716
2412.319701923078,15.6766081570754,-1277.2524903846158,195.6730159896203
2567.3024358974358,14.2068466963883,-1455.9133333333336,200.20800272802143
2728.611326923077,11.95664843361998,-1646.0457499999998,203.35222446063895
2845.326128205129,6.6076957058346135,-1792.4044487179478,212.04600681464458
2943.0984166666685,1.2764278969705676,-1893.7393365384605,226.71765686494402
3042.8966538461545,-2.0755903375978715,-1990.4914102564105,240.0933630824268
3139.0463141025643,-4.0881273061177,-2076.127884615384,248.0068735084677
3268.4981666666667,-7.68975368491833,-2260.236237179486,256.6158471230773
3389.085653846153,-11.640579735133866,-2491.9716666666664,268.98719400457435
3478.8069102564104,-16.685651291744982,-2679.255243589744,283.77922793203123
3582.768451923077,-19.524875664378587,-2797.5571282051274,295.78805557509503
3757.707852564102,-23.45472149799559,-2866.2783653846154,307.78623949131
3977.4940032051286,-28.65715525151754,-2911.0402467948716,318.2677590160039
4208.429192307691,-34.568438090472675,-3052.1292948717937,328.8479137361429
4450.659974358973,-39.69141398298241,-3243.7722756410253,342.2671961090595
4630.9513333333325,-41.26169753615108,-3466.8787051282034,355.65587926600443
4810.481057692308,-42.91129184702496,-3672.768557692308,368.09581425129824
5052.716192307694,-48.46524821682316,-3851.1706410256425,378.73446742760973
5280.72055128205,-52.541795273910836,-4014.0833621794864,386.2738304585439
5521.234352564101,-57.94747931142134,-4177.298583333333,398.8046896599823
5810.194891025639,-63.251338474491426,-4319.538333333334,416.01368080658114
6152.463012820513,-69.82698618354804,-4521.289615384617,440.8677244253339
6554.249846153844,-77.29662966558999,-4767.372871794873,457.92776418142614
6836.715480769233,-82.94694821829998,-5094.2572756410245,475.19241464317224
7052.311759615384,-89.28590167934672,-5420.71182051282,486.17642273308843
7246.872730769233,-98.88423759007009,-5745.024461538463,496.92587221980114
7538.845641025639,-109.75151168739528,-5976.950608974361,505.51414790869114
7868.850115384612,-119.4834687672216,-6202.718025641027,513.9305069442414
8272.023333333334,-128.28124026712916,-6473.71999679487,529.0433782657473
8628.401089743591,-136.05967863806546,-6745.032935897435,550.4252234770175
8897.49079807692,-140.6194365727488,-7023.778426282054,568.5164465150676
9139.697275641027,-142.72746315427227,-7290.069391025634,588.1135055569385
9480.409830128207,-147.92964686743497,-7486.948682692309,592.2585312133534
9857.887858974356,-155.83854078405756,-7721.230141025646,595.970566434781
10183.905791666666,-167.29292701729398,-7987.318403846154,608.6160631752508
10437.887621794878,-176.25095739828745,-8261.568076923078,635.3641654106902
10787.248044871796,-181.98438331948427,-8626.518141025645,672.7771053283748
11295.03726923077,-189.96642823784552,-9027.46894871795,714.9897250089855
11688.433749999993,-196.97582552399837,-9470.2425801282,749.1653377666388
12077.400147435894,-205.0907379632507,-9923.14025,780.4768577732704
12472.11894230769,-215.51478316629434,-10304.153634615384,819.8875736457169
12947.287692307696,-227.80793335662779,-10643.897692307693,860.0003439317618
13448.275166666668,-242.42940145972514,-10961.606455128207,890.7331664665676
13929.227692307692,-258.55156812312595,-11299.711737179488,923.5363601713223
14394.340166666661,-274.10761268628244,-11672.58807692307,947.8543377419333
14793.30502564102,-285.6666488465293,-12038.712846153845,958.8031072456299
15218.150641025642,-296.53433766906,-12415.924631410257,960.111786480978
15635.182256410257,-304.32701342263266,-12869.417134615385,977.427118773472
16026.395576923078,-312.42455170800014,-13324.592621794873,1004.87868469291
16426.783576923077,-322.6067595415457,-13638.530435897432,1030.8687526675392
16781.063224358975,-332.3069716169582,-13881.152926282051,1054.9637751950797
17116.65557692307,-341.10434077966016,-14193.742083333327,1069.0908255135457
