winnerIndex,seed,turns,crystalWin,unitWin,co_generations,co_sumChampionHostFindGen,co_championHostFitnesses,co_sumChampionParasiteFindGen,co_championParasiteFitnesses,oe_generations,oe_sumChampionHostFindGen,oe_championFitnesses
2,1419331485464,48,True,False,29.0,875.0,1810.1666666666667,912.0,55.370370370370374,148.0,1954.0,1970.0
,,,,,43.0,,201.83333333333334,,44.39393939393939,158.0,,965.0
,,,,,42.0,,195.33333333333334,,38.10344827586207,87.0,,1440.0
,,,,,38.0,,112.0,,90.38461538461539,501.0,,1570.0
,,,,,34.0,,-277.3333333333333,,174.4,348.0,,2210.0
,,,,,35.0,,-725.0,,193.33333333333334,324.0,,3810.0
,,,,,34.0,,-2471.3333333333335,,200.88235294117646,355.0,,4720.0
,,,,,33.0,,-4505.333333333333,,345.36842105263156,257.0,,8008.0
,,,,,38.0,,-4744.166666666667,,364.0625,340.0,,6032.0
,,,,,36.0,,-6649.666666666667,,465.70588235294116,382.0,,6952.0
,,,,,39.0,,-6185.333333333333,,400.6666666666667,385.0,,7912.0
,,,,,32.0,,-4969.5,,345.72222222222223,326.0,,8213.0
,,,,,33.0,,-3897.0,,318.03846153846155,328.0,,9174.0
,,,,,40.0,,-10492.0,,565.0,358.0,,14579.0
,,,,,41.0,,-10116.0,,674.0,447.0,,14475.0
,,,,,38.0,,-9185.333333333334,,678.9473684210526,517.0,,12735.0
,,,,,36.0,,-5972.166666666667,,474.77272727272725,472.0,,11756.0
,,,,,39.0,,-7703.366666666667,,503.8125,516.0,,9965.0
,,,,,38.0,,-5341.166666666667,,522.7894736842105,524.0,,10247.0
,,,,,37.0,,-520.6666666666666,,177.86363636363637,495.0,,10386.0
,,,,,41.0,,981.0,,74.0,543.0,,4645.0
,,,,,46.0,,8681.0,,60.8,917.0,,620.0
,,,,,50.0,,11691.0,,-192.3170731707317,910.0,,-7230.0
,,,,,41.0,,60000.0,,-346.07142857142856,1298.0,,-10010.0
1,733992269279,69,False,True,25.0,1263.0,399.3333333333333,1262.0,48.07692307692308,1641.0,4168.0,2010.0
,,,,,21.0,,-14.0,,51.36363636363637,529.0,,480.0
,,,,,19.0,,2291.5,,48.43333333333333,451.0,,2423.0
,,,,,20.0,,380.1666666666667,,89.5,425.0,,1793.0
,,,,,16.0,,53.666666666666664,,77.04761904761905,478.0,,1443.0
,,,,,18.0,,-1287.5,,125.0,398.0,,2290.0
,,,,,15.0,,-2171.5,,100.26315789473684,354.0,,2810.0
,,,,,10.0,,798.5,,96.57894736842105,334.0,,2890.0
,,,,,11.0,,352.5,,89.6875,35.0,,1960.0
,,,,,14.0,,2761.0,,36.2,289.0,,2165.0
,,,,,19.0,,277.1666666666667,,55.55555555555556,311.0,,425.0
,,,,,34.0,,618.6666666666666,,12.258064516129032,61.0,,2485.0
,,,,,34.0,,-40.833333333333336,,55.45454545454545,364.0,,2175.0
,,,,,37.0,,-154.0,,94.54545454545455,338.0,,2315.0
,,,,,35.0,,279.1666666666667,,91.52173913043478,473.0,,2865.0
