"winnerIndex","seed","turns","crystalWin","unitWin","co_generations","co_sumChampionHostFindGen","co_sumChampionParasiteFindGen","oe_generations","oe_sumChampionHostFindGen"
"1","910199038146","57","False","True","22.0","887.0","885.0","153.0","1687.0"
"","","","","","30.0","","","89.0",""
"","","","","","32.0","","","706.0",""
"","","","","","22.0","","","461.0",""
"","","","","","19.0","","","441.0",""
"","","","","","19.0","","","426.0",""
"","","","","","16.0","","","367.0",""
"","","","","","10.0","","","311.0",""
"","","","","","15.0","","","324.0",""
"","","","","","15.0","","","308.0",""
"","","","","","15.0","","","327.0",""
"","","","","","38.0","","","66.0",""
"","","","","","32.0","","","402.0",""
"","","","","","36.0","","","382.0",""
"","","","","","35.0","","","376.0",""
"","","","","","35.0","","","412.0",""
"","","","","","35.0","","","405.0",""
"","","","","","35.0","","","321.0",""
"","","","","","36.0","","","468.0",""
"","","","","","37.0","","","513.0",""
"","","","","","40.0","","","474.0",""
"","","","","","43.0","","","467.0",""
"","","","","","37.0","","","496.0",""
"","","","","","37.0","","","509.0",""
"","","","","","41.0","","","481.0",""
"","","","","","51.0","","","457.0",""
"","","","","","50.0","","","509.0",""
"","","","","","54.0","","","509.0",""
"","","","","","","","","546.0",""
"1","483760473441","39","True","False","22.0","609.0","609.0","98.0","1032.0"
"","","","","","34.0","","","65.0",""
"","","","","","25.0","","","645.0",""
"","","","","","17.0","","","547.0",""
"","","","","","17.0","","","404.0",""
"","","","","","10.0","","","352.0",""
"","","","","","34.0","","","48.0",""
"","","","","","35.0","","","334.0",""
"","","","","","34.0","","","417.0",""
"","","","","","33.0","","","353.0",""
"","","","","","36.0","","","334.0",""
"","","","","","35.0","","","350.0",""
"","","","","","36.0","","","368.0",""
"","","","","","38.0","","","376.0",""
"","","","","","37.0","","","432.0",""
"","","","","","39.0","","","446.0",""
"","","","","","42.0","","","454.0",""
"","","","","","41.0","","","419.0",""
"","","","","","44.0","","","439.0",""
"","","","","","","","","491.0",""
"2","158009862901","30","True","False","29.0","487.0","522.0","1518.0","797.0"
"","","","","","29.0","","","771.0",""
"","","","","","14.0","","","51.0",""
"","","","","","44.0","","","51.0",""
"","","","","","42.0","","","612.0",""
